missing_rate_target,chunk_index,day_index,file_name,mask_path,missing_dataset_path,eligible_count,missing_count,observed_chunk_missing_rate,mask_scope,mechanism,seed,missing_unit,mask_uses_row_index,drops_entire_time_slot,drops_all_nodes_at_same_time,creates_temporal_blocks,forces_non_contiguous_missing,missingness_type
0.05,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_000_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_000.parquet,4034976,201900,0.05003747234184293,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_001_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_001.parquet,4034976,202653,0.05022409055221146,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_002_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_002.parquet,4034976,201529,0.049945526317876486,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_003_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_003.parquet,4034976,202274,0.05013016186465545,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_004_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_004.parquet,4034976,201974,0.05005581198004647,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_005_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_005.parquet,4034976,201147,0.04985085413147439,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_006_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_006.parquet,4034976,200908,0.0497916220567359,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_007_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_007.parquet,4034976,202506,0.050187659108753065,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_008_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_008.parquet,4034976,201177,0.049858289119935284,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_009_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_009.parquet,4034976,200987,0.049811200859682936,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
